classifier_name,dataset_name,accuracy
DTW,BME,0.8933
DTW,BeetleFly,0.7
DTW,BirdChicken,0.75
DTW,Chinatown,0.9738
DTW,Coffee,1.0
DTW,DistalPhalanxOutlineCorrect,0.7571
DTW,DistalPhalanxTW,0.7444
DTW,ECG200,0.8
DTW,FaceFour,0.7667
DTW,Fungi,0.7957
DTW,GunPoint,0.9067
DTW,Herring,0.55
DTW,ItalyPowerDemand,0.9504
DTW,MoteStrain,0.8347
DTW,OliveOil,0.8667
DTW,Plane,1.0
DTW,SmoothSubspace,0.86
DTW,SonyAIBORobotSurface1,0.7255
DTW,SonyAIBORobotSurface2,0.8311
DTW,ToeSegmentation2,0.8519
DTW,BasicMotions,0.975
DTW,Colposcopy,0.4059
DTW,DistalPhalanxOutlineAgeGroup,0.75
DTW,ERing,0.9333
DTW,EyesOpenShut,0.4762
DTW,FingerMovements,0.57
DTW,Epilepsy,0.7826
DTW,NATOPS,0.8833
DTW,PowerCons,0.8333
DTW,RacketSports,0.8289
DTW,UMD,0.8819
OPW,BME,0.8533
OPW,BeetleFly,1.0
OPW,BirdChicken,0.6
OPW,Chinatown,0.9417
OPW,Coffee,1.0
OPW,DistalPhalanxOutlineCorrect,0.6857
OPW,DistalPhalanxTW,0.7333
OPW,ECG200,0.9
OPW,FaceFour,0.8
OPW,Fungi,0.8333
OPW,GunPoint,0.9133
OPW,Herring,0.65
OPW,ItalyPowerDemand,0.9563
OPW,MoteStrain,0.7843
OPW,OliveOil,0.9
OPW,Plane,0.9619
OPW,SmoothSubspace,0.9867
OPW,SonyAIBORobotSurface1,0.772
OPW,SonyAIBORobotSurface2,0.8583
OPW,ToeSegmentation2,0.8148
OPW,BasicMotions,0.75
OPW,Colposcopy,0.3663
OPW,DistalPhalanxOutlineAgeGroup,0.73
OPW,ERing,0.9222
OPW,EyesOpenShut,0.5476
OPW,FingerMovements,0.57
OPW,Epilepsy,0.7609
OPW,NATOPS,0.85
OPW,PowerCons,0.9667
OPW,RacketSports,0.7434
OPW,UMD,0.6111
TAOT,BME,0.7
TAOT,BeetleFly,1.0
TAOT,BirdChicken,0.55
TAOT,Chinatown,0.895
TAOT,Coffee,0.5714
TAOT,DistalPhalanxOutlineCorrect,0.4286
TAOT,DistalPhalanxTW,0.5
TAOT,ECG200,0.9
TAOT,FaceFour,0.5333
TAOT,Fungi,0.8925
TAOT,GunPoint,0.86
TAOT,Herring,0.75
TAOT,ItalyPowerDemand,0.9572
TAOT,MoteStrain,0.8562
TAOT,OliveOil,0.1667
TAOT,Plane,0.8476
TAOT,SmoothSubspace,0.98
TAOT,SonyAIBORobotSurface1,0.5591
TAOT,SonyAIBORobotSurface2,0.8153
TAOT,ToeSegmentation2,0.8519
TAOT,BasicMotions,1.0
TAOT,Colposcopy,0.3465
TAOT,DistalPhalanxOutlineAgeGroup,0.4
TAOT,ERing,0.9407
TAOT,EyesOpenShut,0.5238
TAOT,FingerMovements,0.54
TAOT,Epilepsy,0.3478
TAOT,NATOPS,0.8611
TAOT,PowerCons,0.9833
TAOT,RacketSports,0.8224
TAOT,UMD,0.7153
TCOT,BME,0.5867
TCOT,BeetleFly,1.0
TCOT,BirdChicken,0.85
TCOT,Chinatown,0.3236
TCOT,Coffee,0.8571
TCOT,DistalPhalanxOutlineCorrect,0.6714
TCOT,DistalPhalanxTW,0.7444
TCOT,ECG200,0.84
TCOT,FaceFour,0.6333
TCOT,Fungi,0.0
TCOT,GunPoint,0.8333
TCOT,Herring,0.55
TCOT,ItalyPowerDemand,0.8358
TCOT,MoteStrain,0.7971
TCOT,OliveOil,0.6
TCOT,Plane,1.0
TCOT,SmoothSubspace,0.94
TCOT,SonyAIBORobotSurface1,0.7504
TCOT,SonyAIBORobotSurface2,0.766
TCOT,ToeSegmentation2,0.7407
TCOT,BasicMotions,0.075
TCOT,Colposcopy,0.1881
TCOT,DistalPhalanxOutlineAgeGroup,0.73
TCOT,ERing,0.9074
TCOT,EyesOpenShut,0.5
TCOT,FingerMovements,0.49
TCOT,Epilepsy,0.8043
TCOT,NATOPS,0.8222
TCOT,PowerCons,0.8667
TCOT,RacketSports,0.1579
TCOT,UMD,0.8056
OTW,BME,0.52
OTW,BeetleFly,1.0
OTW,BirdChicken,0.6
OTW,Chinatown,0.7784
OTW,Coffee,0.9643
OTW,DistalPhalanxOutlineCorrect,0.7143
OTW,DistalPhalanxTW,0.7333
OTW,ECG200,0.91
OTW,FaceFour,0.7333
OTW,Fungi,0.8925
OTW,GunPoint,0.9533
OTW,Herring,0.7
OTW,ItalyPowerDemand,0.9621
OTW,MoteStrain,0.885
OTW,OliveOil,0.8667
OTW,Plane,0.9619
OTW,SmoothSubspace,0.9067
OTW,SonyAIBORobotSurface1,0.6872
OTW,SonyAIBORobotSurface2,0.8678
OTW,ToeSegmentation2,0.8148
OTW,BasicMotions,1.0
OTW,Colposcopy,0.3465
OTW,DistalPhalanxOutlineAgeGroup,0.71
OTW,ERing,0.9407
OTW,EyesOpenShut,0.4762
OTW,FingerMovements,0.58
OTW,Epilepsy,0.7609
OTW,NATOPS,0.7333
OTW,PowerCons,0.8833
OTW,RacketSports,0.7632
OTW,UMD,0.5903
AWSWD,BME,0.9467
AWSWD,BeetleFly,1.0
AWSWD,BirdChicken,0.85
AWSWD,Chinatown,0.7259
AWSWD,Coffee,1.0
AWSWD,DistalPhalanxOutlineCorrect,0.7429
AWSWD,DistalPhalanxTW,0.7444
AWSWD,ECG200,0.91
AWSWD,FaceFour,0.8
AWSWD,Fungi,0.0
AWSWD,GunPoint,0.9867
AWSWD,Herring,0.5
AWSWD,ItalyPowerDemand,0.9552
AWSWD,MoteStrain,0.9026
AWSWD,OliveOil,0.9
AWSWD,Plane,1.0
AWSWD,SmoothSubspace,0.9067
AWSWD,SonyAIBORobotSurface1,0.7188
AWSWD,SonyAIBORobotSurface2,0.872
AWSWD,ToeSegmentation2,0.8519
AWSWD,BasicMotions,0.25
AWSWD,Colposcopy,0.2574
AWSWD,DistalPhalanxOutlineAgeGroup,0.76
AWSWD,ERing,0.9407
AWSWD,EyesOpenShut,0.5
AWSWD,FingerMovements,0.49
AWSWD,Epilepsy,0.913
AWSWD,NATOPS,0.8889
AWSWD,PowerCons,0.9333
AWSWD,RacketSports,0.2829
AWSWD,UMD,0.9167
MSOT,BME,0.95
MSOT,BeetleFly,1.0
MSOT,BirdChicken,0.95
MSOT,Chinatown,0.95
MSOT,Coffee,1.0
MSOT,DistalPhalanxOutlineCorrect,0.77
MSOT,DistalPhalanxTW,0.65
MSOT,ECG200,0.94
MSOT,FaceFour,0.91
MSOT,Fungi,0.98
MSOT,GunPoint,0.97
MSOT,Herring,0.703125
MSOT,ItalyPowerDemand,0.97
MSOT,MoteStrain,0.87
MSOT,OliveOil,0.9
MSOT,Plane,1.0
MSOT,SmoothSubspace,1.0
MSOT,SonyAIBORobotSurface1,0.73
MSOT,SonyAIBORobotSurface2,0.87
MSOT,ToeSegmentation2,0.93
MSOT,BasicMotions,0.9
MSOT,Colposcopy,0.425742574
MSOT,DistalPhalanxOutlineAgeGroup,0.741007194
MSOT,ERing,0.859259259
MSOT,EyesOpenShut,0.571428571
MSOT,FingerMovements,0.64
MSOT,Epilepsy,0.724637681
MSOT,NATOPS,0.855555556
MSOT,PowerCons,0.994444444
MSOT,RacketSports,0.75
MSOT,UMD,0.861111111
WTK,BME,0.72
WTK,BeetleFly,0.95
WTK,BirdChicken,0.9
WTK,Chinatown,0.950437318
WTK,Coffee,1.0
WTK,DistalPhalanxOutlineCorrect,0.806666667
WTK,DistalPhalanxTW,0.795
WTK,ECG200,0.9
WTK,FaceFour,0.954545455
WTK,Fungi,0.989247312
WTK,GunPoint,0.993333333
WTK,Herring,0.625
WTK,ItalyPowerDemand,0.954324587
WTK,MoteStrain,0.884185304
WTK,OliveOil,0.866666667
WTK,Plane,1.0
WTK,SmoothSubspace,0.98
WTK,SonyAIBORobotSurface1,0.793677205
WTK,SonyAIBORobotSurface2,0.922350472
WTK,ToeSegmentation2,0.884615385
WTK,BasicMotions,0.575
WTK,Colposcopy,0.326732673
WTK,DistalPhalanxOutlineAgeGroup,0.85
WTK,ERing,0.933333333
WTK,EyesOpenShut,0.571428571
WTK,FingerMovements,0.64
WTK,Epilepsy,0.615942029
WTK,NATOPS,0.844444444
WTK,PowerCons,0.977777778
WTK,RacketSports,0.822368421
WTK,UMD,0.930555556
MNOT,BME,0.906666667
MNOT,BeetleFly,0.85
MNOT,BirdChicken,0.75
MNOT,Chinatown,0.935860058
MNOT,Coffee,1.0
MNOT,DistalPhalanxOutlineCorrect,0.764492754
MNOT,DistalPhalanxTW,0.661870504
MNOT,ECG200,0.81
MNOT,FaceFour,0.727272727
MNOT,Fungi,0.596774194
MNOT,GunPoint,0.873333333
MNOT,Herring,0.609375
MNOT,ItalyPowerDemand,0.943634597
MNOT,MoteStrain,0.85942492
MNOT,OliveOil,0.833333333
MNOT,Plane,1.0
MNOT,SmoothSubspace,0.873333333
MNOT,SonyAIBORobotSurface1,0.763727121
MNOT,SonyAIBORobotSurface2,0.789087093
MNOT,ToeSegmentation2,0.9
MNOT,BasicMotions,0.9
MNOT,Colposcopy,0.415841584
MNOT,DistalPhalanxOutlineAgeGroup,0.769784173
MNOT,ERing,0.888888889
MNOT,EyesOpenShut,0.547619048
MNOT,FingerMovements,0.63
MNOT,Epilepsy,0.586956522
MNOT,NATOPS,0.822222222
MNOT,PowerCons,0.916666667
MNOT,RacketSports,0.723684211
MNOT,UMD,0.861111111
WTKR,BME,0.72
WTKR,BeetleFly,0.8
WTKR,BirdChicken,0.95
WTKR,Chinatown,0.950437318
WTKR,Coffee,1.0
WTKR,DistalPhalanxOutlineCorrect,0.760869565
WTKR,DistalPhalanxTW,0.661870504
WTKR,ECG200,0.91
WTKR,FaceFour,0.931818182
WTKR,Fungi,0.989247312
WTKR,GunPoint,0.98
WTKR,Herring,0.6875
WTKR,ItalyPowerDemand,0.958211856
WTKR,MoteStrain,0.875399361
WTKR,OliveOil,0.9
WTKR,Plane,1.0
WTKR,SmoothSubspace,0.98
WTKR,SonyAIBORobotSurface1,0.793677205
WTKR,SonyAIBORobotSurface2,0.922350472
WTKR,ToeSegmentation2,0.930769231
WTKR,BasicMotions,0.575
WTKR,Colposcopy,0.326732673
WTKR,DistalPhalanxOutlineAgeGroup,0.741007194
WTKR,ERing,0.933333333
WTKR,EyesOpenShut,0.571428571
WTKR,FingerMovements,0.64
WTKR,Epilepsy,0.615942029
WTKR,NATOPS,0.844444444
WTKR,PowerCons,0.977777778
WTKR,RacketSports,0.822368421
WTKR,UMD,0.930555556
